id,name,price,short_description,image,category-id,is_sale,sale_price
54484578,Đèn Bàn Học LED USB Di Động Cao Cấp Có Thể Gập Hai Chỗ – 03 Chế Độ Ánh Sáng Vàng Bảo Vệ Mắt Chống Cận eLights,178000,"MÔ TẢ SẢN PHẨM*LƯU Ý !!!: Sản phẩm có 03 phiên bản: Đèn không tích điện: cần phải cắm vào nguồn điện như: ổ điện, máy tính, sạc dự phòng mới có thể sử dụng đượcĐèn tích điện: tích hợp pin lithium...",https://salt.tikicdn.com/cache/280x280/ts/product/a6/32/52/ce064eeb6458c9ddd1833143e4184279.jpg,4,0,0
53583472,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa)",857000,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa) được làm bằng chất liệu thép không gỉ cao cấp, không những bền chắc mà còn mang lại hi...",https://salt.tikicdn.com/cache/280x280/ts/product/60/6c/1b/4c401b4561004f280363f3920023bad8.jpg,4,0,0
94778000,"Ô Dù che nắng, che mưa, có nút bấm 2 chiều, hàng chất lượng, dễ thương, thiết kế sang trọng và bền bỉ, ô dù có lựa chọn màu sắc, ",186200,"Ô dù được sản xuất trên công nghệ Nhật BảnĐộ mở rộng tới 120cm với 10 nan ô nan ô dày, thép dẻo chịu lực tốt hạn chế gập gẫy sản phẩmKhung, cán chắc chắn, bền đẹp không gỉNút bấm đóng mở tự động thời ...",https://salt.tikicdn.com/cache/280x280/ts/product/32/6f/07/c103a9c3d14b788558d8b81fbc2468bf.jpg,4,0,0
56941523,Ly nhựa 2 lớp LocknLock kèm ống hút HAP507 750ml,112000,"Ly nhựa 2 lớp LocknLock kèm ống hút HAP507 750ml hai lớp cách nhiệt tốt, ngăn chặn sự ảnh hưởng từ nhiệt độ bên ngoài. Bề mặt ly ít bị đọng nước dù bạn dùng ly để đựng nước đá.Miệng ly rộng giúp bạn ...",https://salt.tikicdn.com/cache/280x280/ts/product/21/d7/bc/b80fd5aa548700350c3e039f61c13d4d.jpg,4,0,0
99994000,Bình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268 540ml,267000,Đặc điểm nổi bậtBình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268 thiết kế tay cầm chắc chắn giúp bạn thuận tiện mang theo mọi lúc mọi nơi.Thân bình có cấu tạo 2 lớp và tất ...,https://salt.tikicdn.com/cache/280x280/ts/product/69/29/fb/ac4c518f08ad59d463d3104c372ea10e.jpg,4,0,0
17423771,"5 Viên Pin CR2032 3V Panasonic Lithium thay pin Smartkey , Cmos , Pin thay Airtag - Hàng chính hãng",75000,Hàng năm có khoảng 600 triệu viên pin bị vứt bỏ. Số lượng pin này xếp dài ra sẽ tương đương quãng đường từ Anh sang Úc!Pin có nhiều loại với nhiều kích thước khác nhau: Có viên pin có kích thước chỉ n...,https://salt.tikicdn.com/cache/280x280/ts/product/a1/1f/95/d1b7de1071d058a44fa1dc956487d167.png,4,0,0
73125530,Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CL 930ml,186000,"Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CL 930ml thiết kế vách ngăn giúp thực phẩm không bị trộn lẫn khi bỏ vào chung một hộp.Borosilicate là thủy tinh chịu nhiệt (lên tới 120 độ C), an toàn...",https://salt.tikicdn.com/cache/280x280/ts/product/4d/5d/ee/bbe447ab4330f401117ba9ee7112291a.jpg,4,0,0
11488920,Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml),368000,"Đặc điểm nổi bậtBình Giữ Nhiệt Lock&Lock RigaTumbler LHC4160GRN có tiết kế nhẹ, đẹp, cá tính, giữ nhiệt tốt, bền, thích hợp sử dụng như bình nước dành cho hoạt động ngoài trời! có thể mang theo ...",https://salt.tikicdn.com/cache/280x280/ts/product/b7/81/0c/867c0e7a02dd70293a0b6affdc0000a9.jpg,4,0,0
104270135,Bình Giữ Nhiệt LocknLock Featherlight One-touch Tumbler LHC3257 500ml,266000,Đặc điểm nổi bậtBình Giữ Nhiệt Lock&Lock Featherlight One-touch Tumbler LHC3257 có thiết kế mỏng nhẹ tạo cảm giác dễ dàng trong di chuyển và mang theo khắp nơi.Thân bình được thiết kế nhỏ gọn g...,https://salt.tikicdn.com/cache/280x280/ts/product/4f/ba/f7/da2d9d5951137d114b4bb5dcbb87ac87.jpg,4,0,0
2119173,Cây Lau Nhà Dạng Xịt Nước Lock&Lock ETM472,293000,"Đặc điểm nổi bậtCây Lau Nhà Dạng Xịt Nước Lock&Lock ETM472 thiết kế cây lau nhà dạn đứng với thiết kế tay cầm có cần gạt để điểu khiển việc phun nước, giúp dễ thao tác, tạo cảm giác thoải mái kh...",https://salt.tikicdn.com/cache/280x280/ts/product/fe/5a/40/3dc4cbe6744264d30d3f99ed254f0c07.jpg,4,0,0
